Identificador_Identifier;Tipo_Type;Latitud_Latitude;Longitud_Longitude;ExactitudHorizontal_HorzAccuracy;NivelConfHoriz_HorzConfLevel;ResolucionHoriz_HorzResolution;SistRefHorizontal_HorzRefSyst;Elevacion_Elevation;ExactitudVertical_VertAccuracy;NivelConfVertical_VertConfLevel;ResolucionVert_VertResolution;SistRefVertical_VertRefSyst;Altura_Height;UnidadMedida_UOM;IdOriginador_OriginatorId;IdFuente_SourceId;TipoMedicion_MeasurementType;FechaMedicion_MeasurementDate;Señalizado_Marking;Iluminado_Lighting;Frangible_Frangibility;TipoGeometria_GeometryType;Integridad_Integrity;NotaIntegridad_IntegrityRemark;AMDT;PUB;WEF
LEPA-OBS-02910-001-2015;Árbol/Tree;393242.3810N;0024227.1237E;0.2;95;0.001;WGE;10.87;0.2;95;0.001;MSL;4.75;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151130;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02050-023-2015;Obstáculo Móvil/Mobile Obstacle;393313.4141N;0024315.1474E;0.006;95;0.001;WGE;8.613;0.01;95;0.001;MSL;4.8;m;AENA S.A.;CONSULTOP;GPS;20151121;No;No;No;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-01388-003-2015;Edificio/Building;393235.5719N;0024423.6188E;0.2;95;0.001;WGE;13.959;0.2;95;0.001;MSL;9.469;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151124;No;Si/Yes;No;Superficial/Polygon;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-00105-001-2015;Señal/Sign;393241.8651N;0024240.0096E;0.008;95;0.001;WGE;4.665;0.013;95;0.001;MSL;1.933;m;AENA S.A.;CONSULTOP;GPS;20151122;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03570-004-2015;Tendido Eléctrico/Transmission Line;393538.2365N;0024403.8664E;0.2;95;0.001;WGE;83.7;0.2;95;0.001;MSL;35.873;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20131219;No;No;No;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02859-001-2015;Sistema Iluminación/Electrical Exit Light;393231.9452N;0024321.6574E;0.2;95;0.001;WGE;13.003;0.2;95;0.001;MSL;10.083;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151130;No;No;No;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03009-005-2015;Sistema Iluminación/Electrical Exit Light;393232.6513N;0024345.7683E;0.011;95;0.001;WGE;7.411;0.014;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151126;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02952-038-2015;Sistema Iluminación/Electrical Exit Light;393325.1318N;0024408.5816E;0.007;95;0.001;WGE;3.445;0.017;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151121;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-01518-001-2015;Señal/Sign;393246.2613N;0024412.3376E;0.006;95;0.001;WGE;8.56;0.011;95;0.001;MSL;0.75;m;AENA S.A.;CONSULTOP;GPS;20151119;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02898-001-2015;Árbol/Tree;393241.5224N;0024225.6088E;0.2;95;0.001;WGE;13.746;0.2;95;0.001;MSL;4.526;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151130;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-01295-002-2015;Edificio/Building;393243.3153N;0024440.6468E;0.2;95;0.001;WGE;17.88;0.2;95;0.001;MSL;7.01;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151124;No;No;No;Superficial/Polygon;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02020-065-2015;Obstáculo Móvil/Mobile Obstacle;393327.0099N;0024537.3077E;0.009;95;0.001;WGE;7.651;0.014;95;0.001;MSL;4.8;m;AENA S.A.;CONSULTOP;GPS;20151119;No;No;No;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03536-001-2015;Árbol/Tree;393112.0795N;0024727.9119E;0.5;95;0.001;WGE;92.027;0.25;95;0.001;MSL;11.907;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151202;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02966-006-2015;Sistema Iluminación/Electrical Exit Light;393304.2084N;0024328.7724E;0.004;95;0.001;WGE;3.764;0.016;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151121;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03019-002-2015;Sistema Iluminación/Electrical Exit Light;393252.0222N;0024429.2266E;0.009;95;0.001;WGE;7.959;0.016;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151126;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02948-003-2015;Sistema Iluminación/Electrical Exit Light;393246.7857N;0024240.8322E;0.008;95;0.001;WGE;4.449;0.013;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151121;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02438-001-2015;Árbol/Tree;393253.1065N;0024857.8213E;0.2;95;0.001;WGE;128.11;0.2;95;0.001;MSL;10.39;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151120;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03003-004-2015;Sistema Iluminación/Electrical Exit Light;393251.0492N;0024424.1610E;0.013;95;0.001;WGE;8.981;0.012;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151126;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-01536-001-2015;Señal/Sign;393231.1758N;0024345.9598E;0.009;95;0.001;WGE;7.649;0.015;95;0.001;MSL;0.85;m;AENA S.A.;CONSULTOP;GPS;20151119;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02783-001-2015;Edificio/Building;393328.9342N;0024907.3448E;0.2;95;0.001;WGE;121.362;0.2;95;0.001;MSL;8.452;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151129;No;No;No;Superficial/Polygon;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03025-003-2015;Sistema Iluminación/Electrical Exit Light;393325.1660N;0024536.8194E;0.014;95;0.001;WGE;2.882;0.05;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151126;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03017-003-2015;Sistema Iluminación/Electrical Exit Light;393243.2686N;0024416.3565E;0.009;95;0.001;WGE;7.861;0.013;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151126;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02976-020-2015;Sistema Iluminación/Electrical Exit Light;393307.7332N;0024418.0834E;0.014;95;0.001;WGE;6.621;0.013;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151126;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02997-002-2015;Sistema Iluminación/Electrical Exit Light;393339.5896N;0024438.9506E;0.007;95;0.001;WGE;3.529;0.012;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151121;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03038-002-2015;Antena/Antenna;393401.2600N;0024123.9500E;0.5;95;0.001;WGE;60.624;0.25;95;0.001;MSL;51.394;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151203;No;Si/Yes;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03017-006-2015;Sistema Iluminación/Electrical Exit Light;393243.2885N;0024419.9147E;0.008;95;0.001;WGE;7.166;0.016;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151126;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02400-002-2015;Valla/Fence;393307.0034N;0024354.2279E;0.008;95;0.001;WGE;4.011;0.014;95;0.001;MSL;0.85;m;AENA S.A.;CONSULTOP;GPS;20151201;Si/Yes;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02050-034-2015;Obstáculo Móvil/Mobile Obstacle;393248.7229N;0024225.9412E;0.009;95;0.001;WGE;8.949;0.017;95;0.001;MSL;4.8;m;AENA S.A.;CONSULTOP;GPS;20151121;No;No;No;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02949-013-2015;Sistema Iluminación/Electrical Exit Light;393246.0838N;0024243.0488E;0.031;95;0.001;WGE;4.045;0.016;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151121;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03019-003-2015;Sistema Iluminación/Electrical Exit Light;393252.3190N;0024430.7807E;0.011;95;0.001;WGE;7.661;0.017;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151126;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02579-001-2015;Árbol/Tree;393242.9861N;0024438.9590E;0.2;95;0.001;WGE;16.761;0.2;95;0.001;MSL;3.251;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151124;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02790-001-2015;Edificio/Building;393336.6931N;0024923.2975E;0.2;95;0.001;WGE;140.098;0.2;95;0.001;MSL;13.168;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151129;No;No;No;Superficial/Polygon;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03022-009-2015;Sistema Iluminación/Electrical Exit Light;393246.4168N;0024417.3693E;0.012;95;0.001;WGE;8.797;0.013;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151126;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02986-009-2015;Sistema Iluminación/Electrical Exit Light;393306.3726N;0024328.1021E;0.01;95;0.001;WGE;4.158;0.017;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151126;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03012-009-2015;Sistema Iluminación/Electrical Exit Light;393230.0755N;0024351.1530E;0.007;95;0.001;WGE;8.035;0.019;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151126;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03005-002-2015;Sistema Iluminación/Electrical Exit Light;393245.6321N;0024412.0115E;0.011;95;0.001;WGE;8.731;0.012;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151126;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02966-005-2015;Sistema Iluminación/Electrical Exit Light;393304.4211N;0024328.3896E;0.008;95;0.001;WGE;3.926;0.017;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151121;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02919-001-2015;Árbol/Tree;393145.1483N;0024739.5465E;0.2;95;0.001;WGE;97.576;0.2;95;0.001;MSL;19.156;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151201;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02831-001-2015;Árbol/Tree;393138.5427N;0024835.0520E;0.2;95;0.001;WGE;139.928;0.2;95;0.001;MSL;6.858;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151129;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02828-001-2015;Árbol/Tree;393130.3540N;0024844.0204E;0.2;95;0.001;WGE;141.662;0.2;95;0.001;MSL;6.972;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151129;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-01467-001-2015;Árbol/Tree;393224.5916N;0024333.3003E;0.5;95;0.001;WGE;10.626;0.5;95;0.001;MSL;7.3;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151204;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-03019-005-2015;Sistema Iluminación/Electrical Exit Light;393252.4095N;0024434.0008E;0.008;95;0.001;WGE;6.989;0.02;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151126;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02914-001-2015;Árbol/Tree;393142.2329N;0024751.1080E;0.2;95;0.001;WGE;110.282;0.2;95;0.001;MSL;12.782;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151201;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02020-020-2015;Obstáculo Móvil/Mobile Obstacle;393224.7847N;0024358.4845E;0.01;95;0.001;WGE;11.995;0.016;95;0.001;MSL;4.8;m;AENA S.A.;CONSULTOP;GPS;20151120;No;No;No;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02951-007-2015;Sistema Iluminación/Electrical Exit Light;393254.6707N;0024306.0916E;0.009;95;0.001;WGE;4.707;0.013;95;0.001;MSL;0.73;m;AENA S.A.;CONSULTOP;GPS;20151121;Si/Yes;No;Si/Yes;Lineal/PolyLine;;;AIRAC - 03/17;2017-03-16;2017-04-27
LEPA-OBS-02839-001-2015;Árbol/Tree;393133.2839N;0024853.3792E;0.2;95;0.001;WGE;152.321;0.2;95;0.001;MSL;13.721;m;AENA S.A.;CONSULTOP;Radiación/Radiation;20151129;No;No;No;Puntual/Point;;;AIRAC - 03/17;2017-03-16;2017-04-27
